Date,Annual Return (%)
2001-12-31,-27.952776382728782
2002-12-31,17.658040693094932
2003-12-31,17.59047205374462
2004-12-31,51.20031113217198
2005-12-31,44.048341302497754
2006-12-31,52.01779464480052
2007-12-31,-20.53284022672871
2008-12-31,-35.58288395735739
2009-12-31,136.1690126725779
2010-12-31,33.58832179902465
2011-12-31,-18.580872682980875
2012-12-31,-14.890372035263066
2013-12-31,52.98526198756686
2014-12-31,15.621179412565711
2015-12-31,14.824055047320538
2016-12-31,-6.519641299913282
2017-12-31,6.1542319270665
2018-12-31,29.93862473511788
2019-12-31,14.56698381194057
2020-12-31,75.96506795413462
2021-12-31,53.29120970908472
2022-12-31,-18.377465736862487
2023-12-31,5.017706937648869
2024-12-31,23.93040242016946
2025-12-31,-13.129789660066027
